Unnamed: 0,sep,seperr,pa,paerr,dates
0,4940.0,213.18,348.6,3.01697,1889.79
1,4700.0,213.18,349.6,3.01697,1891.82
2,4854.0,213.18,343.0,3.01697,1892.78
3,5060.0,213.18,344.9,3.01697,1895.79
4,4890.0,213.18,350.0,3.01697,1898.89
5,4650.0,213.18,349.7,3.01697,1912.81
6,5280.0,213.18,349.2,3.01697,1928.72
7,5760.0,299.5137,348.3,0.294238,1986.78
8,5307.0,299.5137,347.9,0.294238,1991.25
9,5310.0,299.5137,347.8,0.294238,1991.48
10,5306.0,299.5137,347.81,0.294238,1992.6293
11,4690.0,299.5137,347.4,0.294238,1993.0
12,5161.0,299.5137,347.9,0.294238,1998.516
13,5340.0,299.5137,348.0,0.294238,2000.77
14,5334.0,299.5137,347.61,0.294238,2009.7469
15,5390.0,299.5137,347.7,0.294238,2010.5
16,5364.6113,0.030789999999999998,347.6581546,0.00018009,2015.5
